score_value;pixel_count;share_percent
106;30;0.0423
109;96;0.1354
110;348;0.4908
111;613;0.8646
112;1064;1.5006
113;2126;2.9985
114;965;1.361
115;139;0.196
116;536;0.756
117;8;0.0113
118;344;0.4852
119;1526;2.1522
120;3089;4.3567
121;1332;1.8786
122;2286;3.2241
123;2061;2.9068
124;1858;2.6205
125;2014;2.8405
126;1613;2.2749
127;1207;1.7023
128;4376;6.1718
129;4413;6.224
130;2939;4.1451
131;192;0.2708
132;6461;9.1124
133;3340;4.7107
134;170;0.2398
135;62;0.0874
136;3555;5.0139
137;1041;1.4682
138;236;0.3328
139;1954;2.7559
140;1538;2.1692
141;703;0.9915
142;4490;6.3326
145;17;0.024
146;1052;1.4837
147;1781;2.5119
148;1761;2.4837
149;185;0.2609
150;1695;2.3906
153;958;1.3511
154;2389;3.3694
156;1022;1.4414
157;3;0.0042
158;479;0.6756
160;73;0.103
162;41;0.0578
163;27;0.0381
164;12;0.0169
165;58;0.0818
166;268;0.378
171;11;0.0155
172;143;0.2017
173;19;0.0268
174;37;0.0522
184;20;0.0282
192;127;0.1791
